rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
76025020	2	55	1	1	4	1	7	 	4	1	 	 	 		1	1	2	1	1	-0.106217086	-0.700083852	4	3	2	4	3	3	3	4	3	0.836348295	1.407960176	0	0.538152158
76027100	2	24	1	1	4	1	4	 	2	1	4	4	4		1	8	3	1	2	0.480416238	-1.127378106	3	3	4	3	3	3	3	3	3	-0.603274286	0.351988405	0	0.601397038
76030100	1	27	2	1	3	1	5	 	2	2	4	4	4		1	9	3	2	3	0.166487485	1.146322608	2	1	2	2	3	2	3	4	1	1.15172565	0.571383476	0	1.016055822
76030220	1	48	1	1	2	1	7	 	1	1	4	4	4		1	4	2	2	1	 	 	3	2	 	 	4	2	2	2	4	1.361650825	0.553745687	0	0.893864512
76030260	2	48	1	1	1	1	7	 	2	1	4	4	4		1	5	2	1	2	2.591094255	1.408080816	1	1	1	1	1	1	1	1	1	3.119779825	0.739501595	0	0.818333149
76033020	1	74	1	1	4	2	2	1	4	1	3	3	3		1	4	2	1	1	 	 	3	3	 	 	4	4	4	4	 	0.142245203	0.714900732	0	0.954596877
76033100	2	55	1	1	1	2	7	 	1	2	4	4	3		1	5	1	1	1	-0.649949193	0.566313267	2	3	2	3	3	3	4	4	1	0.584059298	-0.960649133	0	0.953728318
76033140	2	67	6	1	1	2	7	 	1	2	3	4	3		1	1	1	1	1	 	 	4	4	 	 	4	4	4	4	3	0.007290866	-0.790501356	0	0.442468107
76033180	2	51	1	1	2	2	7	 	1	1	3	4	3		1	4	4	3	2	0.53335315	0.418437481	2	2	2	3	4	2	2	3	3	0.516973019	1.475530863	0	1.481284499
76033260	2	54	5	1	2	2	7	 	2	1	4	4	4		1	3	2	1	3	-1.108298898	2.319248915	2	3	1	1	3	3	3	4	3	1.588912487	-1.101039886	1	0.987523079
76033300	2	74	1	1	1	2	7	 	1	1	4	4	3		1	5	2	1	1	 	 	3	3	 	 	3	3	3	3	2	0.142245203	0.714900732	0	0.931844175
76034060	2	45	3	1	1	2	4	 	2	1	3	3	3		1	10	4	2	3	 	 	1	1	 	 	2	2	2	4	1	2.570786715	-1.838102937	1	0.409360737
76034100	1	47	3	1	2	1	7	 	4	1	3	3	3		1	10	1	1	1	0.059423484	-1.767269492	4	4	4	4	4	2	3	4	4	-0.472592503	-0.489946872	0	0.489969879
76034300	2	52	5	1	4	1	7	 	1	2	3	3	3		1	8	1	1	1	-1.383713603	-0.359383255	4	4	3	3	4	4	4	4	2	0.246930093	0.744337797	0	0.43707028
76038060	1	65	5	1	1	2	7	 	1	1	4	4	4		1	1	2	1	1	-1.396034956	1.521029234	2	2	2	2	4	4	4	4	2	-1.261035204	-0.430027872	0	0.449265748
76038100	1	57	3	1	2	1	7	 	4	1	3	3	3		1	4	2	1	1	 	 	2	2	2	2	 	2	4	4	3	-0.993155777	-0.345856875	0	0.589250743
76038140	2	54	6	1	1	1	7	 	1	1	4	4	4		1	1	4	1	1	1.111343741	-0.839767337	3	1	4	3	4	1	2	4	4	0.391906172	0.000760317	1	0.490633965
76038180	2	65	1	1	1	2	7	 	1	1	4	4	4		1	1	4	1	1	-0.640905797	2.796839952	1	1	1	1	4	1	4	4	1	-1.941584468	2.7485466	0	0.912589371
76038220	2	75	6	1	1	2	3	 	4	1	3	4	4		1	4	4	1	1	 	 	4	4	 	 	4	4	4	4	 	-1.070850015	0.480527967	1	0.550370216
76039060	2	68	6	1	1	2	7	 	1	1	4	4	4		1	5	2	1	1	 	 	1	1	 	 	1	1	1	1	1	2.628606796	0.850914955	0	0.477133453
76039220	2	73	1	1	1	2	7	 	1	1	4	4	4		1	5	2	1	2	1.468437791	-1.093152881	2	2	3	4	3	3	2	2	3	0.564555943	-0.683194518	0	1.507274985
76039260	1	61	1	1	1	2	7	 	1	1	4	4	4		1	4	3	1	2	-0.237233371	0.462587267	1	2	3	3	4	2	4	4	4	2.615617275	-1.457942009	0	0.984397888
76039300	2	39	5	1	5	1	7	2	1	1	4	4	4		1	5	2	1	3	1.710272431	0.395707041	2	1	1	3	1	1	3	3	3	0.287504584	-0.737230659	1	0.504775703
76047020	2	75	5	1	1	2	7	 	4	1	3	3	3		1	1	4	1	3	 	 	2	1	 	 	1	1	1	2	3	-0.990745664	-0.479460746	0	0.575781524
76047060	1	57	1	1	1	2	7	 	4	1	2	3	3		1	5	2	1	1	 	 	1	2	 	 	4	2	4	4	1	-0.598528385	-0.765661061	0	1.125152349
76047100	1	18	3	1	1	2	6	 	5	1	3	3	3		1	5	2	1	1	 	 	4	3	 	 	4	3	3	4	4	-1.261035204	-0.430027872	0	1.311127424
76047140	1	32	3	1	2	2	6	 	2	1	3	3	3		1	4	2	1	1	-0.756100833	0.055878047	4	3	3	2	3	4	3	4	4	2.171971798	-1.300271749	0	1.187551975
76047180	2	55	1	1	1	2	6	 	4	1	3	3	3		1	4	2	1	1	-0.290699005	1.048118949	2	3	2	2	3	2	3	4	2	-1.043756843	0.370509297	0	1.028941989
76047300	1	53	5	1	2	1	7	 	2	1	3	3	3		1	3	2	1	1	-1.507318377	1.953089356	2	3	1	2	4	3	4	4	4	-0.128905892	-0.455729544	0	0.510570049
76049140	1	42	1	1	1	1	1	2	2	1	2	4	4		1	10	1	1	1	-1.631518483	1.17353642	3	3	2	2	4	4	4	4	 	-0.368262738	0.319752842	1	1.571850777
76050020	2	72	6	1	1	2	4	 	4	1	4	4	4		1	5	4	1	3	 	 	1	1	 	 	2	2	2	4	3	-0.440253198	1.84279716	0	1.290352345
76050140	1	33	2	1	1	1	5	2	2	1	4	4	4		1	7	1	1	1	-1.148230076	-0.011890466	3	3	3	3	4	4	4	4	3	-0.153851673	0.067727022	0	0.982272267
76050180	2	62	6	1	1	2	5	 	1	1	3	4	3		1	4	4	1	3	 	 	1	1	 	 	1	1	3	3	3	1.526079297	-1.249518394	0	0.420505285
76050260	2	26	2	1	4	2	4	 	2	1	3	4	4		1	2	4	2	2	-0.479270488	1.54186666	2	3	2	1	3	3	3	3	3	2.658769369	0.142625764	1	1.130847335
76050300	1	60	1	1	1	1	7	 	1	1	4	4	4		1	4	1	1	1	 	 	3	4	 	 	4	3	2	3	2	0.133002698	-0.694410324	0	0.842726171
76051020	1	21	3	3	4	2	1	2	4	1	3	4	3		1	6	2	1	1	 	 	2	1	 	 	4	2	3	3	 	0.470213026	-0.780261457	0	2.503862619
76051100	1	35	1	5	4	1	4	 	1	1	3	3	3		1	5	2	1	1	 	 	2	3	 	 	4	3	3	4	2	0.740497887	-0.08561407	0	1.159897804
76051300	1	52	3	1	4	2	3	1	2	1	1	3	2		1	10	3	2	2	 	 	2	3	 	 	4	2	2	4	 	0.207297355	-0.062315606	1	0.515411198
79460020	2	67	6	1	4	2	7	 	1	1	3	3	3		1	1	1	1	1	-0.900425076	-1.544810176	4	4	4	4	4	4	4	4	3	-0.561833382	-0.463222921	0	0.446634263
79460060	2	66	6	1	1	2	5	 	4	1	3	3	3		1	4	2	1	1	 	 	3	3	 	 	4	4	4	4	3	-0.416323453	-0.455896139	0	0.223317131
79460140	1	70	6	1	5	2	7	 	4	1	3	2	2		1	5	2	1	1	 	 	1	4	 	 	4	4	2	4	4	-2.147188425	4.455988884	0	0.223657742
79460180	2	17	3	1	2	2	6	 	4	1	3	3	3		1	5	4	1	1	1.181916475	-1.921468258	4	2	4	4	3	2	2	4	2	-0.207115665	0.091865703	1	0.575093925
79460220	2	62	1	1	1	2	7	 	1	1	2	3	2		1	5	1	1	1	-0.886644423	-0.948028326	2	4	4	4	4	4	4	4	1	0.132515609	-0.953721702	0	0.443041801
79460300	2	45	5	1	1	1	5	 	4	1	3	3	3		1	5	3	1	1	-0.658051193	-0.898926497	2	3	4	4	4	4	4	4	2	-1.057961464	3.48361659	0	0.449799716
83972020	2	64	5	1	1	2	7	 	4	1	 	 	 		1	4	3	3	1	0.079981066	-0.300894111	3	2	3	3	3	3	3	4	1	0.632202685	-0.789351165	0	0.60618341
83973220	1	71	1	1	4	2	7	 	1	1	4	4	4		1	4	2	1	2	-0.401891768	-0.308110654	3	3	3	3	4	3	4	3	3	0.268488437	0.877527952	0	1.225727439
84067220	1	46	1	1	2	1	4	 	2	2	4	4	4		1	2	1	1	1	-0.625010371	1.133821964	2	3	2	2	3	3	3	4	3	-0.419118583	-0.613351524	1	1.295123339
85980020	1	58	2	1	4	1	6	 	1	1	4	4	4		1	8	1	1	1	-1.148230076	-0.011890466	3	3	3	3	4	4	4	4	3	 	 	0	0.695598602
85980060	1	52	5	1	2	2	7	 	2	1	3	3	3		1	5	3	2	2	 	 	2	2	 	 	3	1	1	4	3	 	 	0	0.315647781
85980100	2	36	1	1	1	2	5	 	4	1	4	4	4		1	4	4	1	3	2.445354223	1.00003612	1	1	1	2	1	1	1	2	1	-1.119040847	1.063290238	0	0.624430537
85980140	1	83	6	1	4	2	7	 	4	1	3	3	3		1	4	3	1	1	 	 	3	3	 	 	3	3	3	3	3	-0.048517756	-0.694385648	1	0.315020978
85980260	2	43	3	1	4	1	7	 	1	1	3	3	3		1	8	4	1	3	-0.631900668	0.83543098	3	3	2	2	3	3	3	4	1	 	 	0	0.305970162
86012060	1	50	2	1	4	1	6	 	4	1	2	2	3		1	1	2	1	1	-0.786017239	1.960636616	3	3	1	1	4	3	2	3	1	1.747491956	1.981464267	1	0.83255583
86016060	2	39	1	1	2	2	7	 	4	2	4	4	3		1	3	3	2	2	0.263414681	-0.560513198	3	3	3	3	3	3	3	3	2	1.246557593	0.569928885	1	1.094133615
86016100	1	49	2	1	3	1	7	 	2	2	4	4	3		1	1	3	2	2	1.430905938	2.021296501	1	1	1	1	3	1	1	2	2	2.739063263	-0.686448634	0	0.568840504
86016180	1	57	4	1	3	2	7	 	4	2	4	4	4		1	5	1	1	1	 	 	4	4	 	 	 	4	4	4	4	-0.844464421	-0.425582647	0	0.304708749
86016220	2	39	1	1	3	2	7	 	2	2	2	4	3		1	1	3	1	1	0.578261912	0.277309626	2	2	2	3	2	2	3	4	5	-0.412379742	0.166580409	0	0.547066808
