rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
71359140	2	38	4	1	2	1	4	 	1	1	3	3	3	5	 	5	2	2	2	-1.14823007583618	-.011890466324985	3	3	3	3	4	4	4	4	2	.316048562526703	.715366959571838	1	.299436122179031
71359180	2	26	3	1	4	1	1	2	4	1	 	 	 	3	 	3	2	2	2	-1.14823007583618	-.011890466324985	3	3	3	3	4	4	4	4	 	.316048562526703	.715366959571838	1	.357555508613586
71359260	1	55	1	1	4	2	7	1	1	1	3	3	3	2	 	9	2	1	1	-.110665999352932	-.359163969755173	3	3	3	3	4	3	3	3	2	.316048562526703	.715366959571838	1	.667127311229706
71361260	1	22	3	3	4	1	6	 	5	1	4	4	4	4	 	1	2	1	1	 	 	3	3	 	 	4	3	3	3	2	.519360899925232	-.82841295003891	1	1.1000828742981
71386100	1	61	1	3	4	2	7	 	1	1	4	4	4	4	 	 	2	1	1	 	 	3	3	3	3	 	3	3	3	3	-1.05577111244202	-.504742562770844	0	1.33396756649017
71387020	2	48	1	1	4	1	6	 	2	1	4	4	4	4	 	10	1	1	1	2.78315687179565	.273707211017609	1	1	2	2	1	1	2	1	3	.57753199338913	-.625257968902588	1	1.30358374118805
71387180	2	58	3	1	4	1	5	 	1	1	4	4	4	4	 	4	2	1	2	2.51687002182007	.892269194126129	1	1	2	1	1	1	2	1	2	.126227125525475	.0759618505835533	0	.697671592235565
71387220	2	33	1	3	2	1	4	 	2	1	3	3	4	3	 	5	3	2	2	2.80809569358826	.841215848922729	1	1	2	1	1	1	1	1	2	3.24671459197998	.491734832525253	0	1.44799828529358
71387300	2	36	1	1	3	1	5	 	2	1	4	4	4	5	 	5	3	1	1	-.226764157414436	.326522827148438	4	3	2	2	3	3	3	3	3	.268246591091156	-.901896417140961	1	1.36966419219971
71390060	1	64	6	1	4	1	7	 	1	1	3	4	4	5	 	4	3	3	3	 	 	3	3	4	3	 	3	3	3	3	-1.26103520393372	-.43002787232399	0	.669432640075684
71390260	2	18	3	1	2	1	5	 	2	1	3	4	4	5	 	4	1	1	1	-.529583156108856	-.447037696838379	4	3	3	3	4	3	3	4	3	.439069986343384	-.693653643131256	0	3.33966851234436
71391060	1	64	1	1	4	2	7	 	1	1	4	4	4	4	 	5	2	2	2	.690961003303528	-1.34739398956299	2	2	4	4	3	3	4	3	3	1.02698028087616	.281125724315643	1	1.35984873771667
71391140	2	30	3	1	4	1	4	 	4	1	3	4	3	3	 	6	2	1	3	 	 	3	3	 	 	3	3	4	3	3	.00465308735147119	-.628737568855286	0	2.21170616149902
71391180	2	86	6	1	1	2	7	 	3	1	3	3	3	3	 	4	2	1	1	 	 	4	4	 	 	4	4	4	4	2	-1.47266912460327	.354271471500397	0	.871060073375702
71391220	1	67	1	1	4	2	7	 	1	1	4	4	4	5	 	4	2	1	1	 	 	2	2	2	2	 	3	2	3	2	1.67961037158966	1.14921987056732	0	1.29758262634277
71411140	2	26	2	1	4	1	1	2	2	2	 	 	 	3	 	2	3	2	2	-.625010371208191	1.13382196426392	2	3	2	2	3	3	3	4	 	.875961542129517	.578271269798279	1	.927224576473236
71411300	1	75	6	1	1	2	7	 	4	2	4	4	4	3	 	5	3	2	3	.790123999118805	-.264073699712753	2	2	3	3	3	3	2	3	1	1.28045237064362	-.401231586933136	0	.363134473562241
71412140	2	42	2	1	2	2	1	2	1	2	3	4	4	4	 	3	 	1	1	.117924243211746	.886882483959198	2	1	1	3	4	4	4	1	 	 	 	0	.523895502090454
71413060	2	54	1	1	3	1	7	 	1	2	4	4	4	5	 	5	3	2	2	.843387186527252	1.71853399276733	2	1	1	1	1	2	3	3	1	.943120837211609	-.692575812339783	0	1.18553256988525
71413140	2	38	1	1	4	1	6	 	2	2	4	4	4	5	 	5	1	1	1	-.148612171411514	-.349995970726013	3	3	3	3	3	3	3	4	3	.477911442518234	-.935085296630859	0	.77762234210968
71413180	2	33	1	1	2	1	7	 	4	2	4	4	4	5	 	5	3	2	2	.531939029693604	1.81972801685333	2	2	1	1	2	2	2	3	1	1.54314124584198	-.286541163921356	0	.822081208229065
71413260	1	36	1	1	4	1	3	 	2	2	4	4	4	5	 	4	2	1	2	-.172525256872177	.914449751377106	1	2	3	2	3	3	3	4	 	.375004857778549	-.613513708114624	0	.884613215923309
71414100	2	72	6	1	1	2	7	 	1	2	4	4	3	3	 	5	3	2	2	.0868713855743408	-.00250317947939038	2	2	3	3	3	3	3	4	2	-.0443907454609871	.147278651595116	0	.321914166212082
71414140	2	45	5	1	1	1	6	 	2	2	4	4	3	2	 	4	1	1	1	.522971630096436	.760672450065613	3	2	1	3	4	1	1	4	3	-.663227736949921	-.643067598342896	1	.307876586914063
71414260	2	84	6	1	1	2	7	 	1	2	4	4	4	3	 	5	4	3	2	 	 	2	3	 	 	4	3	4	 	3	-.508819878101349	-.716794013977051	0	.808950364589691
71415300	2	81	6	1	1	2	4	 	4	1	4	4	3	3	 	4	3	1	1	 	 	3	3	 	 	4	4	4	 	3	1.13268375396729	-.12804451584816	0	.490402698516846
71436100	1	59	1	1	1	1	7	 	1	1	 	 	 	4	 	4	2	1	1	-.0278126504272223	-.718106865882874	3	2	3	4	4	3	3	4	2	-1.23377656936646	.353243440389633	0	2.13181376457214
71436140	2	55	5	1	2	2	7	 	2	1	 	 	 	3	 	5	2	1	1	.263414680957794	-.560513198375702	3	3	3	3	3	3	3	3	2	-1.26103520393372	-.43002787232399	0	.469661504030228
